EQUIPO,CÓDIGO_SUBSISTEMA
ALMIX,ALM-ROD-01 /RODAMIENTO
ALMIX,ALM-COR-02 /CORREA
ALMIX,ALM-EJ-03 /EJE
ALMIX,ALM-MOT-04 /MOTOR
ALMIX,ALM-BOM-05 /BOMBA
ALMIX,ALM-POL-06 /POLEA
ALMIX,ALM-SEL-07 /SELLO
ALMIX,ALM-PAN-08 /PANEL DE CONTROL
ALMIX,ALM-DIA-09 /BOMBA DE DIAFRAGMA
ALMIX,ALM-ELE-10 /SUMINISTRO ELÉCTRICO 
ALMIX,ALM-AIR-11 /AIRE COMPRIMIDO
ALMIX,ALM-GEN-12 /CAMBIO DE GENERADOR
DRINK,DRI-BTD-01 /BTD
DRINK,DRI-BOM-02 /BOMBA M2
DRINK,DRI-BOM-03 /BOMB M9
DRINK,DRI-CAU-04 /CAUDALIMETRO
DRINK,DRI-PLA-05 /PLACAS
DRINK,DRI-BOM-06 /BOMBA MULTIETAPA
DRINK,DRI-VAP-07 /SISTEMA DE VAPOR
DRINK,DRI-VAL-08 /VÁLVULAS
DRINK,DRI-PAN-09 /PANEL DE CONTROL
DRINK,DRI-ELE-10 /SUMINISTRO ELÉCTRICO 
DRINK,DRI-AIR-11 /AIRE COMPRIMIDO
FLEX,FLEX-TPO-01 /TPOP DISPLAY
FLEX,FLEX-TER-02 /TERMOCUPLAS
FLEX,FLEX-VAL-03 /VALVULA DE VAPOR
FLEX,FLEX-BTD-04 /BTD
FLEX,FLEX-BOM-05 /BOMBAS
FLEX,FLEX-SELL-06 /SELLOS
FLEX,FLEX-VAL-07 /VALVULAS DE DIAFRAGMA
FLEX,FLEX-VAR-08 /VARIADORES
FLEX,FLEX-PLC-09 /PLC
FLEX,FLEX-TUB-10 /INTERCAMBIADOR TUBULAR
FLEX,FLEX-PAN-11 /PANEL DE CONTROL
FLEX,FLEX-ELE-12 /SUMINISTRO ELÉCTRICO 
FLEX,FLEX-AIR-13 /AIRE COMPRIMIDO
FLEX,FLEX-GEN-14 /CAMBIO GENERADOR
A3FLEX,A3F-TPO-01 /TPOP DISPLAY
A3FLEX,A3F-ASE-01 /CAMARA ASEPTICA
A3FLEX,A3F-CAM-02 /CAMARA DE SECADO
A3FLEX,A3F-SELL-03 /SELLADO LONGITUDINAL
A3FLEX,A3F-SELL-24 /SELLADO TRANSVERSAL
A3FLEX,A3F-ELM-04 /ELEMENTO PARADA CORTA
A3FLEX,A3F-AIR-05 /SISTEMA AIRE ESTERIL
A3FLEX,A3F-LLE-06 /SISTEMA DE LLENADO
A3FLEX,A3F-PER-07 /SITEMA PEROXIDO
A3FLEX,A3F-SEG-08 /SISTEMA DE SEGURIDAD
A3FLEX,A3F-PAN-09 /PANEL DE CONTROL
A3FLEX,A3F-TRA-10 /TRANSPORTADORES
A3FLEX,A3F-SEG-11 /SISTEMA SEGURIDAD 
A3FLEX,A3F-HID-12 /SISTEMA HIDRAULICO
A3FLEX,A3F-TRA-13 /SISTEMA TRACCION
A3FLEX,A3F-MOR-14 /MORDAZAS
A3FLEX,A3F-CORT-15 /BRAZO DE CORTE
A3FLEX,A3F-PRE-16 /BRAZO DE PRESION
A3FLEX,A3F-COR-17 /CORREA ALIM PLEGADORA
A3FLEX,A3F-PULL-18 /PULL DOWN PLEGADORA
A3FLEX,A3F-PRE-19 /DISPOSITIVO PRENSOR
A3FLEX,A3F-REF-20 /SISTEMA REFRIGERACION
A3FLEX,A3F-MES-21 /MESA DE EMPALME
A3FLEX,A3F-APL-22 APLICADOR DE TIRA
A3FLEX,A3F-AIR-23 /AIRE COMPRIMIDO
A3FLEX,A3F-GEN-24 /CAMBIO GENERADOR
A3FLEX,A3F-ELE-25 SUMINISTRO ELÉCTRICO 
FW32,FW-TPO-01 /TPOP DISPLAY
FW32,FW-FRE-02 /UNIDAD FRENO DE ENTRADA
FW32,FW-AGR-03 /UNIDAD AGRUPADORA
FW32,FW-MAG-04 /MAGAZING DE BOBINAS
FW32,FW-SELL-05 /UNIDAD DE SELLADO
FW32,FW-TRA-06 /UNIDAD TRANSF TREEPACK
FW32,FW-TRAN-08 /TRANSPORTADORES
FW32,FW-PAN-09 /PANEL DE CONTROL
FW32,FW-AIR-10 /AIRE COMPRIMIDO
FW32,FW-ELE-11 /SUMINISTRO ELÉCTRICO 
FW32,FW-GEN-12 /CAMBIO GENERADOR
HELIX,HEL-TPO-01 /TPOP DISPLAY
HELIX,HEL-CAD-02 /CADENA ESLABONES
HELIX,HEL-MOT-03 /MOTOREDUCTOR
HELIX,HEL-ARA-04 /ARAÑA
HELIX,HEL-DIS-10 /DISPLAY
HELIX,HEL-PAN-09 /PANEL DE CONTROL
HELIX,HEL-TRA-10 /TRANSPORTADOES
HELIX,HEL-ELE-12 /SUMINISTRO ELÉCTRICO 
HELIX,HEL-AIR-13 /AIRE COMPRIMIDO
HELIX,HEL-GEN-14 /CAMBIO GENERADOR 
HELIX,HEL-COM-15 /COMPRESOR DE AIRE
CAP,CAP-TPO-01 /TPOPDISPLAY
CAP,CAP-FRE-02 /UNIDAD DE FRENO DE ENTRADA
CAP,CAP-APL-03 /APLICADOR DE TAPAS
CAP,CAP-NOR-04 /UNIDAD NORDSON
CAP,CAP-RUE-05 /UNIDAD APLICADORA TAPAS
CAP,CAP-TRA-06 /TRANSPORTADOR DE TAPAS
CAP,CAP-INY-07 /UNIDAD INYECCIO PEGA
CAP,CAP-CORR-08 /CORREA LINEA EMPAQUES
CAP,CAP-PAN-09 /PANEL DE CONTROL
CAP,TRANSPORTADORES
CAP,CAP-ELE-11 /SUMINISTRO ELÉCTRICO 
CAP,CAP-AIR-12 /AIRE COMPRIMIDO
CBP32,CBP-FRE-01 /UNIDAD FRENO DE ENTRADA
CBP32,CBP-FOR-02 /FORMACION DE PATRON
CBP32,CBP-AGR-03 /AGRUPADOR
CBP32,CBP-PLA-04 /PLACA DE TRANSFERENCIA
CBP32,CBP-EMP-05 /EMPUJADOR
CBP32,CBP-SEN-06 /SENSOR ULTRASONIDO
CBP32,CBP-CAD-07 /CADENA ARRASTRADORA
CBP32,CBP-TPO-08 /TPOP
CBP32,CBP-PAN-09 /PANEL DE CONTROL
CBP32,CBP-TRA-10 /TRANSPORTADORES
CBP32,CBP-NOR-11 /UNIDAD NORDSON
CBP32,CBP-AIR-12 /AIRE COMPRIMIDO
CBP32,CBP-MAG-13 / MAGAZINE DE CARTONES
CBP32,CBP-VEN-14 /VENTOSAS
CBP32,CBP-GRA-15 /UNIDAD WRAP
CBP32,CBP-SEN-16 /SENSOR BANDEJA
TAVIL,TAV-SEG-01 /BARRERAS DE SEGURIDAD
TAVIL,TAV-VAC-02 /PALET VACÍO 
TAVIL,TAV-LLE-03 /PALET LLENO
TAVIL,TAV-FLE-04 /FLEJADOR DE PALETAS
TAVIL,TAV-MOT-05 /MOTOREDUCTORES
TAVIL,TAV-GAR-06 /GUIAS/RODAMIENTOS GARRA
TAVIL,TAV-TRA-07 /TRANSPORTADOR BATERIA/LINEA
TAVIL,TAV-DIS-08 /DISPLAY
TAVIL,TAV-CON-09 /PANEL DE CONTROL
TAVIL, TAV-PAL-10 /TRANSPORTADOR DE PALETAS
