IDNUMERO_ DE REPORTE,ÁREA ,TURNO,LÍNEA ,EQUIPO,CÓDIGO_SUBSISTEMA,SUPERVISOR,ESTATUS,REPORTA,TIPO DE FALLA,FECHA DE INICIO,HORA DE INICIO,FECHA DE CIERRE,HORA DE CIERRE,TIEMPO DE PROCURA,DOWNTIME
6ff1c160,VACÍO,TURNO 1,LINEA 3,TECMI,,RICARDO,FINALIZADO,TECNICO,CAMBIO DE LONA MESA NUMERO TRES POR DAÑO EN REVESTIMIENTO INTERNO,26/03/2026,13:42:48,26/03/2026,13:57:54,,0:15:06
,,,,,,,,,,,,,,,
9924239d,VACÍO,TURNO 1,LINEA 3,ETIQUETADORA,,YOLIANNY,FINALIZADO,SUPERVISOR,AJUSTES EN MAGAZING Y UÑAS LATERALES,31/03/2026,12:40:31,31/03/2026,12:41:51,,0:01:20
da7acae8,VACÍO,TURNO 1,LINEA 3,ETIQUETADORA,,YOLIANNY,FINALIZADO,SUPERVISOR,Etiquetadora falla en la unidad Nordson,31/03/2026,12:50:16,31/03/2026,13:00:00,,0:09:44
60489374,VACÍO,TURNO 1,LINEA 3,ETIQUETADORA,,YOLIANNY,FINALIZADO,SUPERVISOR,Caída de temperatura de unidad nordson de pistola #1 debido a alarma f3,31/03/2026,9:45:00,31/03/2026,9:55:00,,0:10:00
2b49df48,VACÍO,TURNO 2,LINEA 3,DESPALETIZADOR,,EUSTORGIO,FINALIZADO,SUPERVISOR,"Carro se detiene a desnivel con respecto a la mesa, se nivela de manera manual y se reanuda modo automático",31/03/2026,16:40:00,31/03/2026,17:03:00,,0:23:00
24998f71,ASÉPTICO,TURNO 2,LINEA 1,CBP32,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se resetea alarma de temperatura en unidad Nordson,31/03/2026,16:52:00,31/03/2026,16:54:00,,0:02:00
c3849f84,ASÉPTICO,TURNO 2,LINEA 1,CBP32,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se ajusta prensa por presentar cajas con solapas abiertas,31/03/2026,18:52:00,31/03/2026,19:06:00,,0:14:00
63a3685c,ASÉPTICO,TURNO 2,LINEA 3,TAVIL,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se repaletiza paleta rota,31/03/2026,16:39:00,31/03/2026,16:39:00,,0:00:00
522c2c88,ASÉPTICO,TURNO 2,LINEA 3,HELIX,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se sacan envases girados en el transportador de salida,31/03/2026,17:02:00,31/03/2026,17:09:00,,0:07:00
fcca6d3b,ASÉPTICO,TURNO 2,LINEA 3,HELIX,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se sacan envases girados en el transportador de salida,31/03/2026,17:38:00,31/03/2026,17:45:00,,0:07:00
d213321e,ASÉPTICO,TURNO 2,LINEA 3,A3CFLEX,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se ajustan barandas de salida de la llenadora por presencia de envases girados,31/03/2026,20:30:00,31/03/2026,20:39:00,,0:09:00
4fbd69f5,ASÉPTICO,TURNO 3,LINEA 1,HELIX,,RICARDO,FINALIZADO,SUPERVISOR,"FALLA DE ENVASES CAIDOS Y MALTRTADOS. SOLUCION: SE PROCEDE A SUSTITUIR ESLABON PARTIDO,SE AJUSTA POSICIÓN DE GUIAS DE LA ARAÑA YA QUE MALTRATA ELPRIMER ENVASE.",01/04/2026,11:33:32,01/04/2026,11:41:28,,0:07:56
2575d2b0,ASÉPTICO,TURNO 3,LINEA 3,FW32,,RICARDO,FINALIZADO,SUPERVISOR,"CAIDA DE TREEPACK, CAUSA ENVASES INCLINADOS. SOLUCION: SE AJUSTA ANGULO DE PALA EMPUJADORA.",01/04/2026,12:07:47,01/04/2026,12:12:32,,0:04:45
7e1d9854,ASÉPTICO,TURNO 2,LINEA 3,A3CFLEX,,EUSTORGIO,FINALIZADO,SUPERVISOR,MAL FORMACIÓN DE ENVASES POR VOLUMEN INESTABLE. SOLUCION: SE SUSTITUYE UP DE LLENADO POR EL DE LA LLENADORA DE LINEA 2.,01/04/2026,12:33:24,01/04/2026,12:38:58,,0:05:34
64e6847d,ASÉPTICO,TURNO 2,LINEA 1,CBP32,,EUSTORGIO,FINALIZADO,SUPERVISOR,SOLAPA DE ENVOLTURA DESPEGADA. SOLUCION: SE SUSTITUYE BOQUILLA TAPADA.,01/04/2026,14:09:41,01/04/2026,14:18:40,,0:08:59
b3bb3b9e,ASÉPTICO,TURNO 1,LINEA 1,CBP32,,YOLIANNY,FINALIZADO,SUPERVISOR,Reemplazo de ventosa dañada y falla de dosificación de boquilla izquierda se realizó purga de la pistola.,01/04/2026,20:48:25,01/04/2026,20:53:00,,0:04:35
f36db69d,ASÉPTICO,TURNO 1,LINEA 3,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,"ALARMA FOTOCELDA NO DETECTADA, SE REEMPLAZA Y QUEDA OPERATIVA.",01/04/2026,21:09:29,01/04/2026,21:17:15,,0:07:46
8d1740f0,VACÍO,TURNO 1,LINEA 3,LLENADORA ELMAR,,YOLIANNY,FINALIZADO,SUPERVISOR,"CAMBIO DE SENSOR CAPACITIVO DE PRESENCIA DE ENVASES, ACCIONAMIENTO DEL CILINDRO DE APERTURA DE VALVULAS.",01/04/2026,21:35:08,01/04/2026,21:39:51,,0:04:43
1359dab7,VACÍO,TURNO 3,LINEA 3,TECMI,,YOLIANNY,FINALIZADO,SUPERVISOR,RODILLOS DESGASTE EN DIÁMETRO DE VULCANIZADO,02/04/2026,5:44:32,02/04/2026,5:46:00,,0:01:28
50ecf969,VACÍO,TURNO 1,LINEA 3,DOMINO,,YOLIANNY,FINALIZADO,SUPERVISOR,DOMINO REPARACIÓN DEL CABLE DEL SENSOR CAPACITIVO POR FALSO CONTACTO,02/04/2026,6:04:08,02/04/2026,6:09:00,,0:04:52
84f5def8,ASÉPTICO,TURNO 3,LINEA 3,HELIX,,RICARDO,FINALIZADO,SUPERVISOR,CAÍDA DE ENVASES A LA SALIDA DEL HELIX.  SOLUCIÓN SE POSICIONA GUÍA DE ARAÑA,02/04/2026,8:03:36,02/04/2026,8:08:00,,0:04:24
c2ac06cc,ASÉPTICO,TURNO 3,LINEA 3,HELIX,,RICARDO,FINALIZADO,SUPERVISOR,"Helix trancamiento de rodamiento en base de la araña, se lubrica y ajustan por giro de envases",02/04/2026,17:55:17,02/04/2026,18:04:00,,0:08:43
f6018417,ASÉPTICO,TURNO 1,LINEA 3,TAVIL,,YOLIANNY,FINALIZADO,SUPERVISOR,AJUSTE DE COORDENADAS DE MOSAICO TPA200,31/03/2026,8:28:24,31/03/2026,8:40:00,,0:11:36
d3182290,ASÉPTICO,TURNO 3,LINEA 3,A3CFLEX,,RICARDO,FINALIZADO,SUPERVISOR,"-Falla: Temperatura baja en resistencia de parada corta.

-Solución: Se procede a verificar condiciones de voltaje en el la resistencia de parada corta y se determina que la resistencia se encuentra abierta, se envía llenadora a Limpieza y se retira resistencia para ser sustituida por el grupo entrante.",06/04/2026,20:08:18,07/04/2026,1:12:02,,5:03:44
484f3bb5,ASÉPTICO,TURNO 3,LINEA 1,CBP32,,YOLIANNY,FINALIZADO,SUPERVISOR,Solapa de envoltura despegada,06/04/2026,2:17:05,06/04/2026,2:45:00,,0:27:55
5fcfd60f,ASÉPTICO,TURNO 3,LINEA 1,CBP32,,YOLIANNY,FINALIZADO,SUPERVISOR,Solapa de envoltura despegada,06/04/2026,2:46:00,06/04/2026,2:48:00,,0:02:00
9574ffa7,ASÉPTICO,TURNO 3,LINEA 1,CBP32,,YOLIANNY,FINALIZADO,SUPERVISOR,Solapa de envoltura despegada,06/04/2026,2:53:00,06/04/2026,3:12:00,,0:19:00
d2089065,ASÉPTICO,TURNO 3,LINEA 1,CBP32,,YOLIANNY,FINALIZADO,SUPERVISOR,Solapa de envoltura despegada,06/04/2026,3:20:00,06/04/2026,3:40:00,,0:20:00
ae2ec42b,ASÉPTICO,TURNO 3,LINEA 1,TAVIL,,YOLIANNY,FINALIZADO,SUPERVISOR,Falla de armado de mosaico,06/04/2026,3:51:00,06/04/2026,4:06:00,,0:15:00
960deb2f,ASÉPTICO,TURNO 3,LINEA 1,TAVIL,,YOLIANNY,FINALIZADO,SUPERVISOR,Falla de movimiento,06/04/2026,4:17:00,06/04/2026,4:27:00,,0:10:00
